Distance,GrayValue
0.0,179
1.200585794518659,190
2.401171589037318,193
3.6017573835559773,204
4.802343178074636,208
6.0029289725932955,206
7.203514767111955,197
8.404100561630614,184
9.604686356149273,150
10.805272150667932,141
12.005857945186591,107
13.20644373970525,90
14.40702953422391,42
15.607615328742568,37
16.808201123261227,21
18.008786917779886,23
19.209372712298546,23
20.409958506817205,31
21.610544301335864,41
22.811130095854523,50
24.011715890373182,62
25.21230168489184,78
26.4128874794105,83
27.61347327392916,85
28.81405906844782,83
30.014644862966477,80
31.215230657485137,79
32.415816452003796,75
33.616402246522455,83
34.816988041041114,93
36.01757383555977,102
37.21815963007843,129
38.41874542459709,148
39.61933121911575,184
40.81991701363441,200
42.02050280815307,233
43.22108860267173,246
44.42167439719039,253
45.622260191709046,249
46.822845986227705,239
48.023431780746364,232
49.22401757526502,217
50.42460336978368,203
51.62518916430234,193
52.825774958821,187
54.02636075333966,182
55.22694654785832,165
56.42753234237698,162
57.62811813689564,153
58.828703931414296,153
60.029289725932955,150
61.229875520451614,149
62.43046131497027,153
63.63104710948893,158
64.83163290400759,170
66.03221869852625,175
67.23280449304491,177
68.43339028756357,178
69.63397608208223,181
70.83456187660089,185
72.03514767111955,179
73.2357334656382,175
74.43631926015686,174
75.63690505467552,171
76.83749084919418,166
