Distance,u_eq
0.0,45627.450980392154
1.0327619737794917,49960.78431372549
2.0655239475589835,50470.58823529412
3.0982859213384755,52000.0
4.131047895117967,53019.60784313725
5.1638098688974585,52254.901960784315
6.196571842676951,50215.686274509804
7.2293338164564425,46901.96078431373
8.262095790235934,37725.490196078434
9.294857764015426,35431.3725490196
10.327619737794917,26000.0
11.360381711574409,22941.176470588238
12.393143685353902,9431.372549019608
13.425905659133393,8666.666666666666
14.458667632912885,5352.941176470588
15.491429606692376,5862.745098039216
16.524191580471868,7137.254901960784
17.55695355425136,9431.372549019608
18.58971552803085,12745.098039215685
19.622477501810344,15803.921568627451
20.655239475589834,18862.745098039217
21.688001449369327,21156.86274509804
22.720763423148817,21666.666666666664
23.75352539692831,21156.86274509804
24.786287370707804,19117.64705882353
25.819049344487293,18607.843137254902
26.851811318266787,19117.64705882353
27.884573292046277,21156.86274509804
28.91733526582577,23450.980392156864
29.95009723960526,26000.0
30.982859213384753,32882.35294117647
32.01562118716424,37725.490196078434
33.048383160943736,49960.78431372549
34.08114513472323,54039.21568627451
35.11390710850272,59392.1568627451
36.14666908228221,63215.686274509804
37.1794310560617,64745.098039215685
38.212193029841195,63470.58823529412
39.24495500362069,60921.56862745098
40.277716977400175,59137.25490196078
41.31047895117967,55313.72549019608
42.34324092495916,51745.098039215685
43.376002898738655,49196.078431372545
44.40876487251815,44862.74509803922
45.441526846297634,43333.33333333333
46.47428882007713,42058.82352941177
47.50705079385662,41294.11764705882
48.539812767636114,38235.29411764706
49.57257474141561,37470.58823529411
50.605336715195094,37980.39215686275
51.63809868897459,39000.0
52.67086066275408,41549.01960784313
53.703622636533574,43333.33333333333
54.73638461031306,44607.8431372549
55.76914658409255,45117.647058823524
56.801908557872046,45882.352941176476
57.83467053165154,46901.96078431373
58.86743250543103,47156.862745098035
59.90019447921052,45627.450980392154
60.93295645299001,45627.450980392154
61.965718426769506,44352.94117647059
62.998480400549,43588.23529411764
64.03124237432849,42313.72549019608
