Distance,u_eq
0.0,45627.450980392154
1.200585794518659,48431.37254901961
2.401171589037318,49196.078431372545
3.6017573835559773,52000.0
4.802343178074636,53019.60784313725
6.0029289725932955,52509.80392156863
7.203514767111955,50215.686274509804
8.404100561630614,46901.96078431373
9.604686356149273,38235.29411764706
10.805272150667932,35941.17647058824
12.005857945186591,27274.50980392157
13.20644373970525,22941.176470588238
14.40702953422391,10705.882352941177
15.607615328742568,9431.372549019608
16.808201123261227,5352.941176470588
18.008786917779886,5862.745098039216
19.209372712298546,5862.745098039216
20.409958506817205,7901.9607843137255
21.610544301335864,10450.980392156864
22.811130095854523,12745.098039215685
24.011715890373182,15803.921568627451
25.21230168489184,19882.352941176472
26.4128874794105,21156.86274509804
27.61347327392916,21666.666666666664
28.81405906844782,21156.86274509804
30.014644862966477,20392.156862745098
31.215230657485137,20137.254901960783
32.415816452003796,19117.64705882353
33.616402246522455,21156.86274509804
34.816988041041114,23705.882352941175
36.01757383555977,26000.0
37.21815963007843,32882.35294117647
38.41874542459709,37725.490196078434
39.61933121911575,46901.96078431373
40.81991701363441,50980.39215686274
42.02050280815307,59392.1568627451
43.22108860267173,62705.882352941175
44.42167439719039,64490.19607843138
45.622260191709046,63470.58823529412
46.822845986227705,60921.56862745098
48.023431780746364,59137.25490196078
49.22401757526502,55313.72549019608
50.42460336978368,51745.098039215685
51.62518916430234,49196.078431372545
52.825774958821,47666.666666666664
54.02636075333966,46392.1568627451
55.22694654785832,42058.82352941177
56.42753234237698,41294.11764705882
57.62811813689564,39000.0
58.828703931414296,39000.0
60.029289725932955,38235.29411764706
61.229875520451614,37980.39215686275
62.43046131497027,39000.0
63.63104710948893,40274.509803921566
64.83163290400759,43333.33333333333
66.03221869852625,44607.8431372549
67.23280449304491,45117.647058823524
68.43339028756357,45372.54901960784
69.63397608208223,46137.25490196078
70.83456187660089,47156.862745098035
72.03514767111955,45627.450980392154
73.2357334656382,44607.8431372549
74.43631926015686,44352.94117647059
75.63690505467552,43588.23529411764
76.83749084919418,42313.72549019608
