Distance (mm),u_eq
0.0,45627.450980392154
0.9004393458889943,48431.37254901961
1.8008786917779886,49196.078431372545
2.701318037666983,52000.0
3.6017573835559773,53019.60784313725
4.502196729444972,52509.80392156863
5.402636075333966,50215.686274509804
6.30307542122296,46901.96078431373
7.203514767111955,38235.29411764706
8.103954113000949,35941.17647058824
9.004393458889943,27274.50980392157
9.904832804778938,22941.176470588238
10.805272150667932,10705.882352941177
11.705711496556926,9431.372549019608
12.60615084244592,5352.941176470588
13.506590188334915,5862.745098039216
14.40702953422391,5862.745098039216
15.307468880112904,7901.9607843137255
16.207908226001898,10450.980392156864
17.108347571890892,12745.098039215685
18.008786917779886,15803.921568627451
18.90922626366888,19882.352941176472
19.809665609557875,21156.86274509804
20.71010495544687,21666.666666666664
21.610544301335864,21156.86274509804
22.510983647224858,20392.156862745098
23.411422993113852,20137.254901960783
24.311862339002847,19117.64705882353
25.21230168489184,21156.86274509804
26.112741030780835,23705.882352941175
27.01318037666983,26000.0
27.913619722558824,32882.35294117647
28.81405906844782,37725.490196078434
29.714498414336813,46901.96078431373
30.614937760225807,50980.39215686274
31.5153771061148,59392.1568627451
32.415816452003796,62705.882352941175
33.316255797892794,64490.19607843138
34.216695143781784,63470.58823529412
35.117134489670775,60921.56862745098
36.01757383555977,59137.25490196078
36.91801318144877,55313.72549019608
37.81845252733776,51745.098039215685
38.71889187322675,49196.078431372545
39.61933121911575,47666.666666666664
40.51977056500475,46392.1568627451
41.42020991089374,42058.82352941177
42.32064925678273,41294.11764705882
43.22108860267173,39000.0
44.121527948560725,39000.0
45.021967294449716,38235.29411764706
45.92240664033871,37980.39215686275
46.822845986227705,39000.0
47.7232853321167,40274.509803921566
48.62372467800569,43333.33333333333
49.524164023894684,44607.8431372549
50.42460336978368,45117.647058823524
51.32504271567268,45372.54901960784
52.22548206156167,46137.25490196078
53.12592140745066,47156.862745098035
54.02636075333966,45627.450980392154
54.92680009922866,44607.8431372549
55.82723944511765,44352.94117647059
56.72767879100664,43588.23529411764
57.62811813689564,42313.72549019608
