Distance(¦Ìm),u_eq
0.0,46003.0
1.08,48830.0
2.414953415699773,50886.0
3.41525987298185,52428.0
4.452954075667074,53456.0
5.506941074680207,52942.0
6.8305197459637,50629.0
7.86251868042296,47288.0
8.905908151334147,38550.0
9.957108013876319,36237.0
11.275531029623396,26214.0
12.31389459107069,23130.0
13.35886222700122,10794.0
14.68958814943428,8738.0
15.72503736084592,5397.0
16.766108671960826,5911.0
17.811816302668294,7967.0
19.1376487584029,9509.0
20.17606502765096,12850.0
21.21863332073958,15934.0
22.26477037833537,20046.0
23.587556041268883,21331.0
24.62778918214138,21845.0
25.671306939850183,21331.0
26.71772445400244,20560.0
28.03843076921389,18761.0
29.079889958526323,19275.0
30.124063470919726,21331.0
31.45007472169184,23644.0
32.489875346021265,26214.0
33.53221734392165,33153.0
34.576870882137385,38036.0
35.90086349936447,50372.0
36.94168377321208,54484.0
37.98469165334899,59881.0
39.02971175912013,63222.0
40.35213005530192,65278.0
41.39373865695149,63993.0
42.43726664147916,61423.0
43.7633271130064,59624.0
44.803731987413734,55769.0
45.84596819786883,52171.0
46.88991362755961,49601.0
48.214470856787386,45232.0
49.25557836428276,43690.0
50.29832601588248,42405.0
51.342613879700366,41634.0
52.66592066982216,38550.0
53.70760839955546,37779.0
54.750780816350016,38293.0
55.7953546453466,39321.0
57.11760499180617,41891.0
58.159779917052646,43690.0
59.203310718236025,44975.0
60.52819508295288,46003.0
61.569472955353454,46260.0
62.612062735546424,47288.0
63.65589996221875,47545.0
64.97975069204253,46774.0
66.02148741129665,46003.0
67.0644346878433,44718.0
68.10853690984707,43947.0
69.43148565312426,46774.0
70.47362059664596,45489.0
