GrayValue
179.0
190.0
198.0
204.0
208.0
206.0
197.0
184.0
150.0
141.0
102.0
90.0
42.0
34.0
21.0
23.0
31.0
37.0
50.0
62.0
78.0
83.0
85.0
83.0
80.0
73.0
75.0
83.0
92.0
102.0
129.0
148.0
196.0
212.0
233.0
246.0
254.0
249.0
239.0
232.0
217.0
203.0
193.0
176.0
170.0
165.0
162.0
150.0
147.0
149.0
153.0
163.0
170.0
175.0
179.0
180.0
184.0
185.0
182.0
179.0
174.0
171.0
182.0
177.0
