distance_¦Ìm,¦Ìeq
0.0,46003.0
1.08,48830.0
2.607350647362943,50886.0
3.687350647362943,52428.0
4.767350647362943,53456.0
5.847350647362943,52942.0
7.374701294725886,50629.0
8.454701294725886,47288.0
9.534701294725886,38550.0
10.614701294725887,36237.0
12.142051942088829,26214.0
13.222051942088829,23130.0
14.302051942088829,10794.0
15.829402589451771,8738.0
16.909402589451773,5397.0
17.98940258945177,5911.0
19.06940258945177,7967.0
20.596753236814713,9509.0
21.67675323681471,12850.0
22.75675323681471,15934.0
23.836753236814708,20046.0
25.364103884177652,21331.0
26.44410388417765,21845.0
27.52410388417765,21331.0
28.604103884177647,20560.0
30.13145453154059,18761.0
31.21145453154059,19275.0
32.29145453154059,21331.0
33.81880517890353,23644.0
34.89880517890353,26214.0
35.97880517890353,33153.0
37.058805178903526,38036.0
38.58615582626647,50372.0
39.66615582626647,54484.0
40.74615582626647,59881.0
41.826155826266465,63222.0
43.35350647362941,65278.0
44.43350647362941,63993.0
45.513506473629405,61423.0
47.04085712099235,59624.0
48.12085712099235,55769.0
49.200857120992346,52171.0
50.280857120992344,49601.0
51.80820776835529,45232.0
52.88820776835529,43690.0
53.968207768355285,42405.0
55.04820776835528,41634.0
56.57555841571823,38550.0
57.655558415718225,37779.0
58.735558415718224,38293.0
59.81555841571822,39321.0
61.342909063081166,41891.0
62.422909063081164,43690.0
63.50290906308116,44975.0
65.0302597104441,46003.0
66.1102597104441,46260.0
67.1902597104441,47288.0
68.2702597104441,47545.0
69.79761035780703,46774.0
70.87761035780703,46003.0
71.95761035780703,44718.0
73.03761035780703,43947.0
74.56496100516996,46774.0
75.64496100516996,45489.0
